dataset	trainingSetSize	baselineRecall	trainedTokenizerRecall
UD_Afrikaans	33894	95.73	99.93
UD_Ancient_Greek	159895	96.35	99.97
UD_Ancient_Greek-PROIEL	184382	99.29	100.00
UD_Arabic	191869	97.13	99.96
UD_Arabic-NYUAD	502991	100.00	100.00
UD_Arabic-PUD	16601	70.83	99.09
UD_Basque [E]	72974	97.54	99.98
UD_Belarusian	5217	95.15	99.35
UD_Bulgarian [E]	124336	97.52	99.80
UD_Buryat	8026	98.77	99.92
UD_Cantonese	552	27.39	96.81
UD_Catalan	416659	93.35	99.94
UD_Chinese	98608	18.23	92.08
UD_Chinese-CFL	5805	12.98	94.45
UD_Chinese-HK	1497	20.63	93.21
UD_Chinese-PUD	17132	16.76	96.33
UD_Coptic	4238	100.00	100.00
UD_Croatian	169283	97.82	99.89
UD_Czech [E]	1171190	98.47	99.95
UD_Czech-CAC [E]	471594	99.96	99.96
UD_Czech-CLTT	26225	92.97	99.54
UD_Czech-FicTree	133137	96.27	99.99
UD_Czech-PUD	14852	98.63	99.88
UD_Danish	80378	98.01	100.00
UD_Dutch [E]	186046	97.52	98.96
UD_Dutch-LassySmall	81243	95.48	99.84
UD_English	204607	95.36	98.78
UD_English-LinES	50095	97.27	99.96
UD_English-ParTUT	43491	99.21	99.71
UD_English-PUD	16941	97.60	99.89
UD_Estonian	85567	96.10	99.81
UD_Finnish	162827	97.22	99.53
UD_Finnish-FTB	127359	99.08	100.00
UD_Finnish-PUD	12650	96.33	99.79
UD_French	346855	92.47	99.37
UD_French-FTB	442228	66.57	100.00
UD_French-ParTUT	23324	94.87	99.84
UD_French-PUD [E]	19310	93.57	99.87
UD_French-Sequoia	49198	92.79	99.73
UD_Galician	71928	97.96	99.83
UD_Galician-TreeGal	4447	98.54	99.62
UD_German	258927	97.56	99.14
UD_German-PUD	16798	98.61	99.80
UD_Gothic	35024	99.95	100.00
UD_Greek [E]	41212	98.37	99.67
UD_Hebrew	98348	97.34	99.93
UD_Hindi	281057	16.27	99.97
UD_Hindi-PUD	19063	13.74	99.92
UD_Hungarian	20166	96.79	99.82
UD_Indonesian	97531	98.50	99.97
UD_Irish	3183	97.01	99.43
UD_Italian [E]	252631	95.65	99.82
UD_Italian-ParTUT	45477	97.05	99.76
UD_Italian-PoSTWITA [E]	49478	88.63	99.60
UD_Italian-PUD	17746	96.46	99.87
UD_Japanese	161900	13.09	93.01
UD_Japanese-PUD	21454	15.11	96.45
UD_Kazakh [E]	511	96.27	95.64
UD_Korean	52328	93.53	99.64
UD_Kurmanji	7957	97.50	99.67
UD_Latin [E]	8018	99.98	99.96
UD_Latin-ITTB	270403	99.43	99.76
UD_Latin-PROIEL	147044	99.90	100.00
UD_Latvian	62397	97.45	99.13
UD_Lithuanian	3210	95.94	99.06
UD_Marathi	2730	29.79	100.00
UD_North_Sami	16835	98.64	99.56
UD_Norwegian-Bokmaal	243887	98.54	99.89
UD_Norwegian-Nynorsk	245330	98.73	99.90
UD_Norwegian-NynorskLIA	8020	98.54	100.00
UD_Old_Church_Slavonic	37432	91.78	100.00
UD_Persian [E]	119945	92.91	100.00
UD_Polish	61906	99.42	99.94
UD_Portuguese	191410	96.44	99.64
UD_Portuguese-BR	238334	98.04	99.88
UD_Portuguese-PUD	17511	98.72	99.77
UD_Romanian	185113	96.87	99.49
UD_Romanian-Nonstandard	10352	95.87	98.28
UD_Russian	75964	96.06	99.89
UD_Russian-PUD [E]	15559	97.39	99.88
UD_Russian-SynTagRus	871082	96.82	99.58
UD_Sanskrit	1158	8.22	99.59
UD_Serbian	65764	96.58	99.88
UD_Slovak [E]	80575	98.95	99.65
UD_Slovenian	112530	98.99	99.87
UD_Slovenian-SST	9487	95.02	100.00
UD_Spanish	375149	98.47	99.95
UD_Spanish-AnCora [E]	443087	97.85	99.91
UD_Spanish-PUD [E]	18258	99.16	99.96
UD_Swedish	66645	98.44	99.95
UD_Swedish-LinES	48325	99.08	99.95
UD_Swedish-PUD	15259	98.18	99.86
UD_Swedish_Sign_Language	644	59.22	100.00
UD_Tamil	5734	4.01	99.21
UD_Telugu	5082	26.21	100.00
UD_Turkish	36970	97.59	99.86
UD_Turkish-PUD	13228	94.90	99.83
UD_Ukrainian	75054	96.18	99.63
UD_Upper_Sorbian	8589	96.74	100.00
UD_Urdu	108690	98.55	100.00
UD_Uyghur	8264	98.47	99.95
UD_Vietnamese	20285	79.37	85.42
