dataset	no	nbSentences	elman	perf
UD_Russian-SynTagRus	00	122	0	0.99593519
UD_Russian-SynTagRus	01	244	0	0.99626067
UD_Russian-SynTagRus	02	366	0	0.99659782
UD_Russian-SynTagRus	03	488	0	0.99702400
UD_Russian-SynTagRus	04	610	0	0.99671896
UD_Russian-SynTagRus	05	732	0	0.99670291
UD_Russian-SynTagRus	06	854	0	0.99694957
UD_Russian-SynTagRus	07	976	0	0.99787929
UD_Russian-SynTagRus	08	1098	0	0.99795957
UD_Russian-SynTagRus	09	1220	0	0.99798876
UD_Russian-SynTagRus	10	1342	0	0.99811866
UD_Russian-SynTagRus	11	1464	0	0.99848354
UD_Russian-SynTagRus	12	1586	0	0.99849522
UD_Russian-SynTagRus	13	1708	0	0.99853900
UD_Russian-SynTagRus	14	1830	0	0.99853463
UD_Russian-SynTagRus	15	1952	0	0.99849814
UD_Russian-SynTagRus	16	2074	0	0.99854046
UD_Russian-SynTagRus	17	2196	0	0.99847041
UD_Russian-SynTagRus	18	2318	0	0.99852879
UD_Russian-SynTagRus	19	2440	0	0.99865577
UD_Russian-SynTagRus	20	2562	0	0.99788513
UD_Russian-SynTagRus	21	2684	0	0.99848938
UD_Russian-SynTagRus	22	2806	0	0.99851273
UD_Russian-SynTagRus	23	2928	0	0.99806028
UD_Russian-SynTagRus	24	3050	0	0.99849522
UD_Russian-SynTagRus	25	3172	0	0.99848062
UD_Russian-SynTagRus	26	3294	0	0.99848646
UD_Russian-SynTagRus	27	3416	0	0.99860614
UD_Russian-SynTagRus	28	3538	0	0.99858717
UD_Russian-SynTagRus	29	3660	0	0.99848208
UD_Russian-SynTagRus	30	3782	0	0.99794059
UD_Russian-SynTagRus	31	3904	0	0.99781507
UD_Russian-SynTagRus	32	4026	0	0.99778588
UD_Russian-SynTagRus	33	4148	0	0.99848646
UD_Russian-SynTagRus	34	4270	0	0.99858425
UD_Russian-SynTagRus	35	4392	0	0.99856674
UD_Russian-SynTagRus	36	4514	0	0.99843976
UD_Russian-SynTagRus	37	4636	0	0.99848500
UD_Russian-SynTagRus	38	4758	0	0.99861198
UD_Russian-SynTagRus	39	4880	0	0.99872291
UD_Russian-SynTagRus	40	5002	0	0.99868642
UD_Russian-SynTagRus	41	5124	0	0.99867328
UD_Russian-SynTagRus	42	5246	0	0.99870101
UD_Russian-SynTagRus	43	5368	0	0.99882361
UD_Russian-SynTagRus	44	5490	0	0.99864117
UD_Russian-SynTagRus	45	5612	0	0.99865869
UD_Russian-SynTagRus	46	5734	0	0.99902649
UD_Russian-SynTagRus	47	5856	0	0.99867328
UD_Russian-SynTagRus	48	5978	0	0.99867620
UD_Russian-SynTagRus	49	6100	0	0.99870247
UD_Russian-SynTagRus	50	6222	0	0.99866306
UD_Russian-SynTagRus	51	6344	0	0.99867474
UD_Russian-SynTagRus	52	6466	0	0.99898124
UD_Russian-SynTagRus	53	6588	0	0.99868934
UD_Russian-SynTagRus	54	6710	0	0.99893454
UD_Russian-SynTagRus	55	6832	0	0.99897832
UD_Russian-SynTagRus	56	6954	0	0.99897832
UD_Russian-SynTagRus	57	7076	0	0.99904254
UD_Russian-SynTagRus	58	7198	0	0.99912574
UD_Russian-SynTagRus	59	7320	0	0.99913449
UD_Russian-SynTagRus	60	7442	0	0.99905276
UD_Russian-SynTagRus	61	7564	0	0.99904108
UD_Russian-SynTagRus	62	7686	0	0.99901189
UD_Russian-SynTagRus	63	7808	0	0.99788367
UD_Russian-SynTagRus	64	7930	0	0.99783989
UD_Russian-SynTagRus	65	8052	0	0.99778880
UD_Russian-SynTagRus	66	8174	0	0.99779464
UD_Russian-SynTagRus	67	8296	0	0.99925126
UD_Russian-SynTagRus	68	8418	0	0.99907319
UD_Russian-SynTagRus	69	8540	0	0.99924250
UD_Russian-SynTagRus	70	8662	0	0.99916952
UD_Russian-SynTagRus	71	8784	0	0.99923082
UD_Russian-SynTagRus	72	8906	0	0.99909509
UD_Russian-SynTagRus	73	9028	0	0.99910384
UD_Russian-SynTagRus	74	9150	0	0.99908633
UD_Russian-SynTagRus	75	9272	0	0.99928191
UD_Russian-SynTagRus	76	9394	0	0.99918704
UD_Russian-SynTagRus	77	9516	0	0.99928045
UD_Russian-SynTagRus	78	9638	0	0.99918558
UD_Russian-SynTagRus	79	9760	0	0.99924980
UD_Russian-SynTagRus	80	9882	0	0.99922791
UD_Russian-SynTagRus	81	10004	0	0.99927607
UD_Russian-SynTagRus	82	10126	0	0.99929796
UD_Russian-SynTagRus	83	10248	0	0.99919142
UD_Russian-SynTagRus	84	10370	0	0.99928191
UD_Russian-SynTagRus	85	10492	0	0.99919434
UD_Russian-SynTagRus	86	10614	0	0.99918850
UD_Russian-SynTagRus	87	10736	0	0.99919725
UD_Russian-SynTagRus	88	10858	0	0.99914909
UD_Russian-SynTagRus	89	10980	0	0.99911552
UD_Russian-SynTagRus	90	11102	0	0.99911260
UD_Russian-SynTagRus	91	11224	0	0.99915493
UD_Russian-SynTagRus	92	11346	0	0.99918266
UD_Russian-SynTagRus	93	11468	0	0.99917244
UD_Russian-SynTagRus	94	11590	0	0.99913158
UD_Russian-SynTagRus	95	11712	0	0.99918996
UD_Russian-SynTagRus	96	11834	0	0.99919871
UD_Russian-SynTagRus	97	11956	0	0.99917828
UD_Russian-SynTagRus	98	12078	0	0.99919580
UD_Russian-SynTagRus	99	12200	0	0.99923958
